# cmb_I cmb_Q cmb_U pow_I pow_Q pow_U genmbb_I genmbb_Q genmbb_U sync_beta gdust_beta gdust_dbeta gdust_Td1 gdust_Td2 gdust_fI gdust_fQ
4.540515e+01 3.971131e-01 5.103610e-01 2.041067e+01 1.055897e+01 9.894831e+00 3.945470e+02 8.330392e+01 6.192303e+01 -2.940485e+00 1.581124e+00 6.753263e-02 1.265493e+01 2.712909e+01 6.819835e-01 1.026376e+00
4.610325e+01 4.133841e-01 5.370347e-01 2.174838e+01 1.052197e+01 9.212977e+00 4.012332e+02 8.211619e+01 6.122019e+01 -2.956898e+00 1.619101e+00 4.886585e-02 1.286941e+01 2.785110e+01 6.445717e-01 1.006869e+00
4.485524e+01 4.027223e-01 5.372631e-01 2.064100e+01 9.812937e+00 8.737864e+00 4.005005e+02 8.225021e+01 5.592338e+01 -2.984176e+00 1.626779e+00 4.354679e-02 1.225843e+01 2.897400e+01 6.318460e-01 9.908738e-01
4.586794e+01 4.117571e-01 5.424342e-01 2.105624e+01 1.015443e+01 8.907451e+00 4.011769e+02 8.168533e+01 5.912894e+01 -2.968451e+00 1.629718e+00 4.591742e-02 1.254932e+01 2.831185e+01 6.448312e-01 9.892185e-01
4.586794e+01 4.117571e-01 5.424342e-01 2.105624e+01 1.015443e+01 8.907451e+00 4.011769e+02 8.168533e+01 5.912894e+01 -2.968451e+00 1.629718e+00 4.591742e-02 1.254932e+01 2.831185e+01 6.448312e-01 9.892185e-01
4.586794e+01 4.117571e-01 5.424342e-01 2.105624e+01 1.015443e+01 8.907451e+00 4.011769e+02 8.168533e+01 5.912894e+01 -2.968451e+00 1.629718e+00 4.591742e-02 1.254932e+01 2.831185e+01 6.448312e-01 9.892185e-01
4.586794e+01 4.117571e-01 5.424342e-01 2.105624e+01 1.015443e+01 8.907451e+00 4.011769e+02 8.168533e+01 5.912894e+01 -2.968451e+00 1.629718e+00 4.591742e-02 1.254932e+01 2.831185e+01 6.448312e-01 9.892185e-01
4.586794e+01 4.117571e-01 5.424342e-01 2.105624e+01 1.015443e+01 8.907451e+00 4.011769e+02 8.168533e+01 5.912894e+01 -2.968451e+00 1.629718e+00 4.591742e-02 1.254932e+01 2.831185e+01 6.448312e-01 9.892185e-01
4.699519e+01 5.786516e-01 5.561006e-01 3.355784e+01 1.099500e+01 1.044233e+01 6.159266e+02 9.526099e+01 8.095874e+01 -3.233345e+00 1.497776e+00 1.761088e-01 1.797938e+01 2.481937e+01 8.411919e-01 1.082202e+00
4.699519e+01 5.786516e-01 5.561006e-01 3.355784e+01 1.099500e+01 1.044233e+01 6.159266e+02 9.526099e+01 8.095874e+01 -3.233345e+00 1.497776e+00 1.761088e-01 1.797938e+01 2.481937e+01 8.411919e-01 1.082202e+00
4.677453e+01 5.609120e-01 5.583145e-01 3.487732e+01 1.075011e+01 1.072588e+01 6.321527e+02 9.457745e+01 7.567252e+01 -3.322842e+00 1.453160e+00 1.698252e-01 1.805905e+01 2.509879e+01 7.750332e-01 1.094304e+00
4.677453e+01 5.609120e-01 5.583145e-01 3.487732e+01 1.075011e+01 1.072588e+01 6.321527e+02 9.457745e+01 7.567252e+01 -3.322842e+00 1.453160e+00 1.698252e-01 1.805905e+01 2.509879e+01 7.750332e-01 1.094304e+00
